,text,start_token,end_token
3,武,6,7
8,吕,136,137
9,岩,138,139
10,纯阳子,141,142
15,柳下惠,412,413
16,鲁,416,417
17,关云长,423,424
20,石季伦,547,548
21,绿珠,553,554
23,虞姬,565,566
29,陆贾,870,871
31,何,872,873
34,徽宗,1062,1063
41,西门,1098,1099
42,西门达,1109,1110
48,西门达,1175,1176
51,应,1265,1266
52,伯爵,1267,1268
53,光侯,1271,1272
56,应花子,1312,1313
60,谢,1332,1333
61,希大,1334,1335
62,子纯,1337,1338
66,西门庆,1378,1379
67,祝实念,1402,1403
68,贡诚,1406,1407
69,孙天化,1411,1412
70,伯修,1415,1416
71,孙寡嘴,1418,1419
72,吴典恩,1423,1424
74,西门庆,1449,1450
75,云,1456,1457
76,云理守,1461,1462
77,非去,1464,1465
78,常峙节,1469,1470
79,卜志道,1479,1480
80,白赉光,1484,1485
81,光汤,1488,1489
82,白赉光,1492,1493
83,白,1537,1538
86,大赉,1562,1563
87,于汤,1564,1565
88,光汤,1578,1579
90,西门庆,1604,1605
91,西门庆,1710,1711
92,杨,1730,1731
93,童,1731,1732
94,蔡,1732,1733
99,陈氏,1791,1793
100,西门,1803,1804
103,杨,1812,1813
104,陈洪,1816,1817
105,陈敬济,1819,1820
107,吴千户,1847,1848
108,吴氏,1855,1857
114,月姐,1870,1871
115,西门庆,1875,1876
116,月娘,1882,1883
117,月娘,1887,1888
120,西门庆,1907,1908
121,李娇儿,1917,1918
123,卓,1936,1937
124,卓丢儿,1940,1941
126,卓,1958,1959
127,西门庆,2010,2011
128,吴月娘,2017,2018
133,吴月娘,2083,2084
134,卓,2135,2136
135,西门庆,2155,2156
136,谢子纯,2207,2208
138,吴月娘,2263,2264
139,西门庆,2307,2308
140,应,2329,2330
141,西门庆,2361,2362
142,玳安儿,2368,2369
143,应,2375,2376
144,谢,2378,2379
145,西门庆,2388,2389
147,应伯爵,2414,2416
148,谢,2457,2458
149,谢希大,2459,2460
150,西门庆,2462,2463
151,西门庆,2483,2484
152,希大,2526,2527
153,西门庆,2542,2543
155,西门庆因,2581,2582
158,李,2601,2602
160,桂卿,2617,2618
161,桂姐儿,2622,2624
165,西门庆,2685,2686
166,谢希大,2702,2703
167,西门庆,2719,2720
170,卜志道,2746,2747
171,承哥,2779,2781
172,西门庆,2817,2818
173,谢希大,2868,2869
175,向伯爵,2895,2897
177,西门庆,2931,2932
178,西门庆,3093,3094
179,谢希大,3114,3115
181,卜志道,3127,3128
182,西门庆,3138,3139
183,花,3150,3151
184,花,3155,3156
185,应伯爵,3206,3208
186,吴银儿,3221,3222
187,花子虚,3223,3224
188,西门庆,3227,3228
189,西门庆,3270,3271
190,西门庆,3298,3299
191,玳安,3302,3303
192,花,3317,3318
199,玳安,3378,3379
200,希大,3404,3405
207,西门庆,3438,3439
209,吴道官,3465,3466
211,谢,3495,3496
212,希,3509,3510
213,玳安,3534,3535
214,西门庆,3541,3542
218,西门爹,3573,3575
221,西门庆,3622,3623
222,谢,3625,3626
225,吴道官,3685,3686
226,西门庆,3690,3691
227,应伯爵,3712,3714
228,西门庆,3732,3733
229,希大,3757,3758
232,西门庆,3779,3780
233,西门庆,3817,3818
234,西门爹,3842,3844
235,西门爹,3847,3849
238,西门庆,3924,3925
240,吴月娘,3988,3989
241,玉箫,3994,3995
243,西门,4032,4033
