,text,start_token,end_token
1,雲普叔,22,24
2,曹氏,27,29
5,秋兒,151,152
9,雲普嬸,189,191
10,四喜兒,199,200
14,雲普叔,261,263
15,雲普嬸,293,295
23,雲普叔,360,362
25,關帝爺爺,385,387
29,雲普叔,413,415
33,雲普叔,487,489
35,雲普叔,498,500
39,雲普嬸,518,520
40,立秋,524,525
42,雲普叔,530,532
44,少普,537,538
46,雲普叔,548,550
47,英英,553,554
48,四喜兒,571,572
49,雲普爺爺,577,579
52,雲普叔,623,625
53,雲普叔,632,634
56,雲普叔,685,686
57,何八爺,707,708
59,何,739,740
62,雲普叔,774,776
63,何,789,790
65,雲普叔,798,800
68,何,832,833
70,雲普叔,851,853
72,雲普叔,870,872
74,雲普叔,948,950
77,雲普叔,1015,1017
79,雲普叔,1053,1055
82,雲普叔,1113,1115
83,立秋兒,1131,1132
84,雲普叔,1145,1147
85,小二,1149,1150
89,雲普叔,1183,1185
94,立秋,1240,1241
95,雲普叔,1261,1263
97,立秋,1289,1290
98,雲普叔,1293,1295
100,曹,1328,1329
101,雲普叔,1342,1344
102,雲普叔,1395,1397
108,何八爺,1485,1486
110,雲普叔,1499,1501
114,何,1541,1542
117,雲普叔,1571,1573
118,立秋,1575,1576
122,雲普爺爺,1589,1591
124,何,1618,1619
125,雲普叔,1644,1646
130,雲普叔,1720,1722
131,立秋,1723,1724
132,少普,1727,1728
133,雲普嬸,1729,1731
134,英英,1732,1733
