,sentence_id,token_id,token,POS_tag
0,0,0,一時間,t
1,0,1,是,v
2,0,2,快,d
3,0,3,要,v
4,0,4,到,v
5,0,5,清明節,t
6,0,6,了,y
7,0,7,。,w
8,1,8,天,n
9,1,9,，,w
10,1,10,下,v
11,1,11,著,v
12,1,12,雨,n
13,1,13,，,w
14,1,14,陰沉沉,z
15,1,15,的,u
16,1,16,沒有,v
17,1,17,一點,m
18,1,18,晴和,a
19,1,19,的,u
20,1,20,徵兆,n
21,1,21,。,w
22,2,22,雲普,nr
23,2,23,叔,n
24,2,24,坐,v
25,2,25,在,p
26,2,26,「,w
27,2,27,曹,nr
28,2,28,氏,Ng
29,2,29,家祠,n
30,2,30,」,w
31,2,31,的,u
32,2,32,大,a
33,2,33,門口,s
34,2,34,，,w
35,2,35,還,d
36,2,36,穿,v
37,2,37,著,v
38,2,38,過,v
39,2,39,冬天,t
40,2,40,的,u
41,2,41,那,r
42,2,42,件,q
43,2,43,破舊,a
44,2,44,棉袍,n
45,2,45,；,w
46,2,46,身子,n
47,2,47,微微,d
48,2,48,顫動,v
49,2,49,，,w
50,2,50,像,d
51,2,51,是,v
52,2,52,耐,v
53,2,53,不,d
54,2,54,住,v
55,2,55,這,r
56,2,56,襲,v
57,2,57,人,n
58,2,58,的,u
59,2,59,寒氣,n
60,2,60,。,w
61,3,61,他,r
62,3,62,抬頭,v
63,3,63,望,v
64,3,64,了,u
65,3,65,一,m
66,3,66,望,v
67,3,67,天,n
68,3,68,，,w
69,3,69,嘴,n
70,3,70,邊,f
71,3,71,不,d
72,3,72,知道,v
73,3,73,念,v
74,3,74,了,u
75,3,75,幾,m
76,3,76,句,q
77,3,77,什麼,r
78,3,78,話,n
79,3,79,，,w
80,3,80,又,d
81,3,81,低,v
82,3,82,了,u
83,3,83,下去,v
84,3,84,。,w
85,4,85,鬍鬚,n
86,4,86,上,f
87,4,87,倒懸,v
88,4,88,著,u
89,4,89,一線,n
90,4,90,一線,n
91,4,91,的,u
92,4,92,，,w
93,4,93,迎風,v
94,4,94,飄動,v
95,4,95,，,w
96,4,96,剛剛,d
